,opportunity id,annee_cir,siren
18732,0060O00000pkvZR,2017.0,785304031
31710,0060X00000cQ8Qz,2020.0,785304031
24973,0060O00000ujWFQ,2019.0,552048837
32861,0060X00000mdiYD,2020.0,552048837
7532,0062000000Yx95Y,2014.0,609849153
4142,0062000000Rm9fF,2013.0,552117590
27483,0060X00000hNtje,2019.0,414815043
29838,0060X00000mdiWw,2020.0,414815043
14486,0060X00000abigm,2016.0,422288092
16745,0060X00000abifF,2017.0,422288092
20997,0060O00000vu7iN,2018.0,422288092
27459,0060X00000aqg1A,2019.0,422288092
29826,0060X00000mdjJ5,2020.0,422288092
5667,0062000000fgFSr,2013.0,320252489
7753,0062000000W3oj3,2014.0,558501912
12408,0062000000hwTns,2016.0,402968655
22401,0060X00000ap5SW,2018.0,379706344
24853,0060X00000cQcFI,2019.0,379706344
4110,0062000000TbJLB,2013.0,071502397
9402,0060O00000nWG9D,2015.0,071502397
24222,0060X00000b99ez,2019.0,071502397
10992,0062000000hINkW,2015.0,343088134
27016,0060O00000xGRT8,2019.0,343088134
28598,0060X00000mdioC,2020.0,343088134
12351,0062000000jy0M6,2016.0,572058329
28693,0060O00000wgcRp,2020.0,572058329
18151,0060O00000nEtkC,2017.0,562136036
22497,0060O00000tc0Sl,2018.0,562136036
24949,0060X00000hPDYW,2019.0,562136036
32856,0060X00000mdeys,2020.0,562136036
17391,0060O00000mqOWm,2017.0,314722026
17455,0060O00000plIQi,2017.0,399973825
21789,0060O00000pmQf6,2018.0,399973825
18757,0060O00000pnR6L,2017.0,390072551
30832,0066700000nuFd9,2020.0,434085395
5452,0062000000R6T30,2013.0,662043595
11311,0060O00000nRsR2,2015.0,662043595
18253,0060O00000rc39v,2017.0,662043595
22593,0060O00000uhZhH,2018.0,662043595
25033,0060X00000bTHVc,2019.0,662043595
32874,0060X00000mdiMg,2020.0,662043595
33138,0066700000raKRY,2021.0,662043595
6759,0062000000aopJ0,2014.0,505780296
27501,0060X00000hNteA,2019.0,451120331
29850,0060X00000mdjGC,2020.0,451120331
6115,0062000000PwzqA,2013.0,339030702
17264,0060O00000mrxUS,2017.0,662043116
26196,0060O00000wgSAq,2019.0,662043116
5712,0062000000UZJje,2013.0,341459386
20574,0060O00000ssyg1,2018.0,605520071
27964,0060X00000hNfV7,2019.0,605520071
4528,0062000000UdKda,2013.0,410314876
16018,0060O00000nWOCX,2017.0,410314876
11130,0062000000cOoWg,2015.0,482283694
19385,0060O00000rBbY3,2018.0,326094471
26136,0060X00000cSs7Z,2019.0,326094471
28605,0060X00000mdinL,2020.0,326094471
19396,0060O00000srq9d,2018.0,552016834
7608,0062000000apHbT,2014.0,434831335
21646,0060X00000bjivy,2018.0,492851266
24140,0060X00000hPAhi,2019.0,492851266
29033,0060X00000mdjL1,2020.0,492851266
11675,0062000000dIUp6,2015.0,644800161
23676,0060O00000ujsF6,2018.0,383000692
31594,0060X00000hNXpz,2020.0,383000692
11657,0062000000cNfhe,2015.0,352463574
13252,0062000000hvoMf,2016.0,352463574
18864,0062000000hvryr,2017.0,352463574
21314,0060O00000uhXpE,2018.0,352463574
27463,0060X00000cStlN,2019.0,352463574
31920,0060X00000mVCy6,2020.0,352463574
7230,0062000000YOXKc,2014.0,926150129
15265,0060O00000pnsUj,2017.0,926150129
17216,0060O00000pmQNI,2017.0,775606361
21837,0060O00000vtuKW,2018.0,632750139
6775,0062000000ZPCPM,2014.0,562061630
10962,0062000000f4yF7,2015.0,562061630
12205,0062000000jxywv,2016.0,562061630
17373,0060O00000nXEVE,2017.0,562061630
33145,0066700000oPz5L,2021.0,315000943
11209,0062000000eaurM,2015.0,632049128
17571,0060O00000msPbL,2017.0,301374690
4362,0062000000TZchk,2013.0,325041481
7782,0062000000a5485,2014.0,325041481
12271,0060O00000mqPv5,2016.0,301763405
19416,0060O00000vrwry,2018.0,301763405
28622,0066700000pK5LE,2020.0,301763405
14545,0062000000iuRS6,2016.0,545550162
9660,0062000000gtnmh,2015.0,301501391
23748,0060O00000ssBkP,2018.0,592056303
24456,0060X00000cSsWt,2019.0,592056303
31930,0060X00000mVDx5,2020.0,592056303
7566,0062000000a4Bww,2014.0,552146854
18267,0060O00000pnYse,2017.0,302507652
27937,0060X00000cU1Uj,2019.0,302507652
6895,0062000000dv87C,2014.0,403138225
15625,0060O00000teCDS,2017.0,329368526
23744,0060O00000vt0Q1,2018.0,329368526
9780,0062000000bS4tu,2015.0,945752137
15805,0060O00000pmcQE,2017.0,945752137
23780,0060O00000teDS4,2018.0,945752137
5449,0062000000Hr21G,2013.0,967504697
7407,0062000000ZQGfs,2014.0,967504697
11305,0062000000ecsQh,2015.0,967504697
13170,0062000000ecsR1,2016.0,967504697
18247,0060O00000nXP4l,2017.0,967504697
22587,0060O00000tcwxd,2018.0,967504697
25027,0060X00000cSsR6,2019.0,967504697
32873,0060X00000mVD9V,2020.0,967504697
17539,0060O00000nXGpi,2017.0,562880468
21885,0060O00000stNns,2018.0,562880468
24427,0060X00000cSsQM,2019.0,562880468
32776,0060X00000mdeZp,2020.0,562880468
4128,0062000000UbrPd,2013.0,479942583
7470,0062000000ZPCXe,2014.0,479942583
9438,0062000000f7ecL,2015.0,479942583
13675,0062000000jykCY,2016.0,479942583
15475,0060O00000nWIz5,2017.0,479942583
23711,0060O00000sB6f6,2018.0,479942583
24258,0060X00000bjbCw,2019.0,479942583
18183,0060O00000nWp31,2017.0,775616626
14560,0062000000dv9NF,2016.0,542078555
6843,0062000000ecD1p,2014.0,410436158
17725,0060O00000poaFA,2017.0,410436158
4664,0062000000ShHrZ,2013.0,961503422
11995,0062000000f7SIZ,2015.0,961503422
18555,0060O00000nRqsX,2017.0,961503422
15709,0060O00000mFDwT,2017.0,301364824
32117,0060O00000ssxIA,2020.0,301364824
18930,0060O00000nEgRc,2017.0,381561844
24913,0060O00000ukNW0,2019.0,857500227
21092,0060O00000xGPtw,2018.0,558201075
6431,0062000000aq6kU,2014.0,393588595
6285,0062000000YMzE6,2014.0,331566430
20961,0060O00000tcgyX,2018.0,444212955
6437,0062000000YOXcT,2014.0,415750660
12369,0062000000gtjhi,2016.0,415750660
11034,0062000000dGLsV,2015.0,353543358
12259,0062000000jnaVw,2016.0,353543358
24642,0060O00000nElKT,2019.0,338567258
33065,0060X00000ivbkD,2021.0,338567258
19554,0060O00000st9PK,2018.0,445200488
23684,0060O00000wgUW2,2018.0,552002313
27100,0060X00000hNtd2,2019.0,302135561
28658,0060X00000mdiV5,2020.0,302135561
8610,0062000000eakDX,2014.0,642005177
22004,0060O00000wgosS,2018.0,429870603
20326,0060O00000vtdx2,2018.0,592033401
27572,0060X00000cRhXT,2019.0,592033401
5591,0062000000X73Wu,2013.0,382506079
7192,0062000000ZPCPD,2014.0,382506079
10067,0062000000ftoAx,2015.0,382506079
14336,0062000000ldWvI,2016.0,382506079
16337,0060O00000nXEYT,2017.0,382506079
19518,0060O00000ssckD,2018.0,383123874
10763,0062000000hQHCa,2015.0,303970230
30192,0060X00000cUCPU,2020.0,303970230
12265,0062000000iuTs0,2016.0,632045837
23726,0060O00000tcYxQ,2018.0,027250026
6195,0062000000Sg6gs,2013.0,527860555
18099,0060O00000nXl2Q,2017.0,326784709
20334,0060O00000sAlKs,2018.0,326784709
6849,0062000000apWL9,2014.0,331408336
31413,0060X00000lGjHx,2020.0,542052451
23782,0060O00000ssyd0,2018.0,350422622
24618,0060X00000cSsj0,2019.0,350422622
32174,0066700000pdCcI,2020.0,350422622
4996,0062000000UbrHU,2013.0,479766982
6477,0062000000bPpk9,2014.0,479766982
10441,0062000000f7ekU,2015.0,479766982
12396,0062000000jy3Mh,2016.0,479766982
17347,0060O00000nWIyU,2017.0,479766982
21681,0060X00000jCx9A,2018.0,479766982
9408,0062000000edv4E,2015.0,483018370
11934,0060O00000mFFXm,2015.0,328024187
5257,0062000000X73Ov,2013.0,329450738
6885,0062000000ZPCVb,2014.0,329450738
10801,0062000000fto8H,2015.0,329450738
12744,0060O00000mruLc,2016.0,329450738
17773,0060O00000nXEVA,2017.0,329450738
22083,0060O00000tc0O9,2018.0,329450738
13852,0062000000iuFpc,2016.0,412076937
9127,0062000000a3Waz,2014.0,504313032
10588,0062000000gZNHd,2015.0,504313032
14353,0062000000gZVzx,2016.0,504313032
16989,0060O00000nXEUG,2017.0,504313032
23392,0060O00000uhZAf,2018.0,504313032
33098,0060X00000lgI1I,2021.0,504313032
27685,0060X00000e4SkJ,2019.0,380448944
5520,0062000000Kiunp,2013.0,351466495
7124,0062000000Kiuxj,2014.0,351466495
11519,0062000000Kiuxo,2015.0,351466495
13042,0062000000hPmri,2016.0,351466495
18576,0060O00000nXOu3,2017.0,351466495
20936,0060O00000stNnI,2018.0,351466495
27073,0060X00000cRhKy,2019.0,351466495
31560,0060X00000mdiRW,2020.0,351466495
23776,0060O00000teEyp,2018.0,572050169
5882,0062000000RjuC1,2013.0,350219382
7990,0062000000Rjsy1,2014.0,350219382
10691,0062000000f7FtF,2015.0,350219382
14645,0062000000ldX02,2016.0,350219382
17135,0060O00000nXP92,2017.0,350219382
21339,0060O00000stPLl,2018.0,350219382
27741,0060X00000cStoj,2019.0,350219382
30150,0060X00000mVDRk,2020.0,350219382
7293,0062000000dyRkl,2014.0,784824153
13068,0060O00000msKJ3,2016.0,784824153
24696,0060X00000hP030,2019.0,420851651
32237,0060X00000mR2sM,2020.0,420851651
22539,0060O00000ui9a2,2018.0,381960491
5658,0062000000W6eXk,2013.0,407986074
7406,0062000000arKJn,2014.0,407986074
11681,0062000000fto7u,2015.0,407986074
7097,0062000000YOTc7,2014.0,998269211
1217,0066700000r4NNq,2021.0,345184774
7151,0062000000apyiH,2014.0,345184774
12963,0062000000itFld,2016.0,345184774
20332,0060O00000teYpa,2018.0,345184774
7220,0062000000TcKk0,2014.0,333286714
18648,0060O00000mqm7b,2017.0,333286714
21032,0060O00000vupGX,2018.0,333286714
27151,0060X00000cSsby,2019.0,333286714
31626,0060X00000mVDOs,2020.0,333286714
4134,0062000000VFvaf,2013.0,331355263
11943,0062000000fgZvS,2015.0,542094750
18189,0060O00000mqQ74,2017.0,542094750
15559,0060X00000lJOM6,2017.0,542105572
23729,0060O00000rB254,2018.0,542105572
24342,0060X00000hP06x,2019.0,542105572
31870,0060X00000mdjLf,2020.0,542105572
5696,0062000000VFSHm,2013.0,401011168
16637,0060O00000mHApK,2017.0,401011168
20895,0060O00000ujedw,2018.0,401011168
27032,0060X00000b9DBW,2019.0,927250217
21584,0060X00000asRUC,2018.0,636220220
5128,0062000000SiaED,2013.0,675980114
32761,0060X00000kQzUA,2020.0,675980114
27793,0060X00000cQmsJ,2019.0,331312108
17745,0060O00000nEvG8,2017.0,479162695
19962,0060O00000srzv4,2018.0,479162695
27664,0060X00000cQNnG,2019.0,479162695
7335,0062000000W3uhz,2014.0,440305282
20502,0060O00000vtNyc,2018.0,444953830
6803,0062000000aq7aB,2014.0,421863259
4538,0062000000TbZsr,2013.0,384711909
31566,0060X00000kR2ij,2020.0,525721189
12008,0062000000guCnL,2015.0,548202985
18639,0060O00000nWecr,2017.0,548202985
20856,0060O00000stPGp,2018.0,548202985
28093,0060X00000e4cEg,2019.0,548202985
29798,0060X00000mVEI7,2020.0,548202985
15463,0060O00000tcbfl,2017.0,632054029
23708,0060X00000cRhNy,2018.0,632054029
23751,0060O00000ujR1I,2018.0,602033185
13306,0062000000hPamR,2016.0,352191167
